央视,#genre#
南通三套,http://1k75c34199.vicp.fun:4022/udp/239.49.0.197:8000
连云港综合HD,http://1k75c34199.vicp.fun:4022/udp/239.49.0.186:8000
连云港综合,http://1k75c34199.vicp.fun:4022/udp/239.49.0.225:8000
连云港公共HD,http://1k75c34199.vicp.fun:4022/udp/239.49.0.188:8000
连云港公共,http://1k75c34199.vicp.fun:4022/udp/239.49.0.229:8000
徐州1,http://1k75c34199.vicp.fun:4022/udp/239.49.0.203:8000
徐州2,http://1k75c34199.vicp.fun:4022/udp/239.49.0.199:8000
徐州3,http://1k75c34199.vicp.fun:4022/udp/239.49.0.211:8000
徐州4,http://1k75c34199.vicp.fun:4022/udp/239.49.0.216:8000
睢宁综合,http://1k75c34199.vicp.fun:4022/udp/239.49.0.239:8000
高淳新闻,http://1k75c34199.vicp.fun:4022/udp/239.49.0.74:8000
淮安综合,http://1k75c34199.vicp.fun:4022/udp/239.49.0.204:8000
淮安公共,http://1k75c34199.vicp.fun:4022/udp/239.49.0.181:8000
淮安影视,http://1k75c34199.vicp.fun:4022/udp/239.49.0.192:8000
泗洪综合,http://1k75c34199.vicp.fun:4022/udp/239.49.0.195:8000
泗阳综合,http://1k75c34199.vicp.fun:4022/udp/239.49.0.227:9808
东海综合,http://1k75c34199.vicp.fun:4022/udp/239.49.0.121:8000
苏州-5,http://1k75c34199.vicp.fun:4022/udp/239.49.8.116:8000
新沂-1,http://1k75c34199.vicp.fun:4022/udp/239.49.0.238:8000
宿豫综合,http://1k75c34199.vicp.fun:4022/udp/239.49.0.136:9976
邳州综合,http://1k75c34199.vicp.fun:4022/udp/239.49.0.182:8000
贾汪综合,http://1k75c34199.vicp.fun:4022/udp/239.49.0.185:8000
赣榆综合,http://1k75c34199.vicp.fun:4022/udp/239.49.0.241:8000#http://1k75c34199.vicp.fun:4022/udp/239.49.0.242:8000
常州综合,http://1k75c34199.vicp.fun:4022/udp/239.49.0.221:9594
常州都市,http://1k75c34199.vicp.fun:4022/udp/239.49.0.220:9590
常州生活,http://1k75c34199.vicp.fun:4022/udp/239.49.0.219:9586
常州公共,http://1k75c34199.vicp.fun:4022/udp/239.49.0.218:9582
金鹰纪实HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.79:8000
快乐垂钓HD,http://1k75c34199.vicp.fun:4022/udp/239.49.0.114:8000
茶频道HD,http://1k75c34199.vicp.fun:4022/udp/239.49.0.146:8000
梨园频道HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.193:8000
武术世界HD,http://1k75c34199.vicp.fun:4022/udp/239.49.0.205:8000
文物宝库HD,http://1k75c34199.vicp.fun:4022/udp/239.49.0.209:8000
优漫卡通HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.119:8000
财富天下,http://1k75c34199.vicp.fun:4022/udp/239.49.0.166:9322
先锋乒羽,http://1k75c34199.vicp.fun:4022/udp/239.49.0.145:8000
大湾区卫视,http://1k75c34199.vicp.fun:4022/udp/239.49.0.234:8000
山东教育卫视,http://1k75c34199.vicp.fun:4022/udp/239.49.0.235:8000
都市剧场HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.45:8044
动漫秀场HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.43:8028
乐游HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.44:8036
好享购物HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.121:8000
巨鲨环球精选,http://1k75c34199.vicp.fun:4022/udp/239.49.0.212:8000
卫视,#genre#
江苏卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.16:9602
湖南卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.12:9418
北京卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.11:9414
天津卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.35:8620
东方卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.17:9606
浙江卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.20:9618
山东卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.7:9306
河北卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.114:8000
河南卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.29:8000
安徽卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.80:8000
