央视频道,#genre#
七彩戏剧,http://origin.lean.org.cn:4000/udp/239.45.0.16:5140
法治天地,http://origin.lean.org.cn:4000/udp/239.45.1.46:5140
浦东频道,http://origin.lean.org.cn:4000/udp/239.45.3.248:5140
崇明电视,http://origin.lean.org.cn:4000/udp/239.45.1.54:5140
嘉定频道,http://origin.lean.org.cn:4000/udp/239.45.3.185:5140
金色学堂,http://origin.lean.org.cn:4000/udp/239.45.0.9:5140
健康人生,http://origin.lean.org.cn:4000/udp/239.45.3.214:5140
百事通超级体育,http://origin.lean.org.cn:4000/udp/239.45.3.139:5140
CETV4,http://origin.lean.org.cn:4000/udp/239.45.0.21:5140
乐游,http://origin.lean.org.cn:4000/udp/239.45.3.135:5140
中国教育1台,http://origin.lean.org.cn:4000/udp/239.45.1.125:5140
中国教育2台,http://origin.lean.org.cn:4000/udp/239.45.1.52:5140
中国教育4台,http://origin.lean.org.cn:4000/udp/239.45.0.21:5140
上视新闻,http://www.baopiqi.top:4022/udp/239.45.3.209:5140 
东方卫视,http://www.baopiqi.top:4022/udp/239.45.3.146:5140 
上海都市,http://www.baopiqi.top:4022/udp/239.45.3.236:5140 
上海纪实,http://www.baopiqi.top:4022/udp/239.45.3.212:5140 
东方影视,http://www.baopiqi.top:4022/udp/239.45.3.237:5140 
第一财经,http://www.baopiqi.top:4022/udp/239.45.3.211:5140 
东方财经,http://www.baopiqi.top:4022/udp/239.45.0.17:5140 
五星体育,http://www.baopiqi.top:4022/udp/239.45.3.210:5140 
哈哈炫动,http://www.baopiqi.top:4022/udp/239.45.1.55:5140 
上视外语,http://www.baopiqi.top:4022/udp/239.45.1.127:5140 
上海都市剧场,http://www.baopiqi.top:4022/udp/239.45.3.136:5140 
欢笑剧场,http://www.baopiqi.top:4022/udp/239.45.1.4:5140 
卡酷少儿,http://www.baopiqi.top:4022/udp/239.45.0.8:5140 
动漫秀场,http://www.baopiqi.top:4022/udp/239.45.3.134:5140 
生活时尚,http://www.baopiqi.top:4022/udp/239.45.3.132:5140 
游戏风云,http://www.baopiqi.top:4022/udp/239.45.3.131:5140 
上海教育,http://www.baopiqi.top:4022/udp/239.45.0.13:5140 
七彩戏剧,http://www.baopiqi.top:4022/udp/239.45.0.16:5140 
法治天地,http://www.baopiqi.top:4022/udp/239.45.1.46:5140 
浦东频道,http://www.baopiqi.top:4022/udp/239.45.3.248:5140 
崇明电视,http://www.baopiqi.top:4022/udp/239.45.1.54:5140 
嘉定频道,http://www.baopiqi.top:4022/udp/239.45.3.185:5140 
金色学堂,http://www.baopiqi.top:4022/udp/239.45.0.9:5140 
健康人生,http://www.baopiqi.top:4022/udp/239.45.3.214:5140 
百事通超级体育,http://www.baopiqi.top:4022/udp/239.45.3.139:5140 CETV4,http://www.baopiqi.top:4022/udp/239.45.0.21:5140 
乐游,http://www.baopiqi.top:4022/udp/239.45.3.135:5140 
中国教育1台,http://www.baopiqi.top:4022/udp/239.45.1.125:5140 
中国教育2台,http://www.baopiqi.top:4022/udp/239.45.1.52:5140 
中国教育4台,http://www.baopiqi.top:4022/udp/239.45.0.21:5140
卫视频道,#genre#
浙江卫视,http://origin.lean.org.cn:4000/udp/239.45.3.178:5140
江苏卫视,http://origin.lean.org.cn:4000/udp/239.45.3.177:5140
湖南卫视,http://origin.lean.org.cn:4000/udp/239.45.3.228:5140
北京卫视,http://origin.lean.org.cn:4000/udp/239.45.3.229:5140
广东卫视,http://origin.lean.org.cn:4000/udp/239.45.3.230:5140
深圳卫视,http://origin.lean.org.cn:4000/udp/239.45.3.231:5140
黑龙江卫视,http://origin.lean.org.cn:4000/udp/239.45.3.232:5140
山东卫视,http://origin.lean.org.cn:4000/udp/239.45.3.238:5140
湖北卫视,http://origin.lean.org.cn:4000/udp/239.45.3.239:5140
安徽卫视,http://origin.lean.org.cn:4000/udp/239.45.1.120:5140
东南卫视,http://origin.lean.org.cn:4000/udp/239.45.1.121:5140
江西卫视,http://origin.lean.org.cn:4000/udp/239.45.1.122:5140
辽宁卫视,http://origin.lean.org.cn:4000/udp/239.45.1.123:5140
天津卫视,http://origin.lean.org.cn:4000/udp/239.45.1.124:5140
四川卫视,http://origin.lean.org.cn:4000/udp/239.45.1.83:5140
重庆卫视,http://origin.lean.org.cn:4000/udp/239.45.1.84:5140
贵州卫视,http://origin.lean.org.cn:4000/udp/239.45.1.80:5140
旅游卫视,http://origin.lean.org.cn:4000/udp/239.45.1.81:5140
河北卫视,http://origin.lean.org.cn:4000/udp/239.45.1.44:5140
记实科教,http://origin.lean.org.cn:4000/udp/239.45.1.14:5140
广西卫视,http://origin.lean.org.cn:4000/udp/239.45.0.5:5140
吉林卫视,http://origin.lean.org.cn:4000/udp/239.45.0.6:5140
山西卫视,http://origin.lean.org.cn:4000/udp/239.45.1.229:5140
青海卫视,http://origin.lean.org.cn:4000/udp/239.45.1.230:5140
西藏卫视,http://origin.lean.org.cn:4000/udp/239.45.1.231:5140
陕西卫视,http://origin.lean.org.cn:4000/udp/239.45.1.232:5140
云南卫视,http://origin.lean.org.cn:4000/udp/239.45.0.4:5140
